doc_id,page_no,provider,statement_type,statement_name_raw,logical_subtable_id,table_semantic_key,row_label_raw,row_label_std,col_header_raw,col_header_path,column_semantic_key,period_role_raw,report_date_raw,period_key,value_raw,value_num,value_type,unit_raw,unit_multiplier,source_cell_ref,status,mapping_code,mapping_name,mapping_method,mapping_confidence,issue_flags,fact_id,report_date_norm,period_role_norm,period_source_level,period_reason,duplicate_group_id,kept_fact_id,comparison_status,comparison_reason,source_kind,statement_group_key,source_row_start,source_row_end,source_col_start,source_col_end,mapping_relation_type,mapping_review_required,conflict_id,conflict_decision,unplaced_reason,review_id
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",货币资金,货币资金,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,396，149，420.62,396149420.62,amount,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:2-2:2-2,observed,ZT_001,货币资金,exact,1.0,[],F000001,2022-12-31,期初数,page,page_exact_candidate,,,equal,normalized_values_equal,json,balance_sheet|资产负债表,2,2,2,2,,False,,,,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",货币资金,货币资金,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,401，700，701.94,401700701.94,amount,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:2-2:3-3,observed,ZT_001,货币资金,exact,1.0,[],F000002,2022-12-31,期末数,page,page_exact_candidate,,,equal,normalized_values_equal,json,balance_sheet|资产负债表,2,2,3,3,,False,,,,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",短期投资,短期投资,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:3-3:2-2,blank,,,,,[],F000003,2022-12-31,期初数,page,page_exact_candidate,,,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,3,3,2,2,,False,,,,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",短期投资,短期投资,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:3-3:3-3,blank,,,,,[],F000004,2022-12-31,期末数,page,page_exact_candidate,,,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,3,3,3,3,,False,,,,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",应收票据,应收票据,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:4-4:2-2,blank,ZT_007,应收票据,exact,1.0,[],F000005,2022-12-31,期初数,page,page_exact_candidate,,,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,4,4,2,2,,False,,,,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",应收票据,应收票据,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,30，700，000.00,30700000.0,amount,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:4-4:3-3,observed,ZT_007,应收票据,exact,1.0,[],F000006,2022-12-31,期末数,page,page_exact_candidate,,,equal,normalized_values_equal,json,balance_sheet|资产负债表,4,4,3,3,,False,,,,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",应收股利,应收股利,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:5-5:2-2,blank,ZT_016,应收股利,exact,1.0,[],F000007,2022-12-31,期初数,page,page_exact_candidate,,,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,5,5,2,2,,False,,,,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",应收股利,应收股利,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:5-5:3-3,blank,ZT_016,应收股利,exact,1.0,[],F000008,2022-12-31,期末数,page,page_exact_candidate,,,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,5,5,3,3,,False,,,,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",应收利息,应收利息,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:6-6:2-2,blank,ZT_015,应收利息,exact,1.0,[],F000009,2022-12-31,期初数,page,page_exact_candidate,,,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,6,6,2,2,,False,,,,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",应收利息,应收利息,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:6-6:3-3,blank,ZT_015,应收利息,exact,1.0,[],F000010,2022-12-31,期末数,page,page_exact_candidate,,,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,6,6,3,3,,False,,,,
