doc_id,page_no,provider,source_file,table_id,logical_subtable_id,source_cell_ref,issue_type,severity,message,text_raw,text_clean,status,meta_json
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,债务人审计报告-2022年:4:aliyun_table:0:24-24:7-7,suspicious_value,warning,contains_chinese_noise|expected_numeric_but_unparseable,务屏20，000，000.00,"务屏20,000,000.00",open,"{""abs_col"":7,""grid_col"":3,""grid_row"":24,""is_span_anchor"":true,""issue_flags"":[""numeric_parse_failed""],""source_kind"":""json"",""table_cell_id"":199,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,债务人审计报告-2022年:4:aliyun_table:0:25-25:6-6,suspicious_value,warning,expected_numeric_but_unparseable,会计师率,会计师率,open,"{""abs_col"":6,""grid_col"":2,""grid_row"":25,""is_span_anchor"":true,""issue_flags"":[""numeric_parse_failed""],""source_kind"":""json"",""table_cell_id"":206,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,债务人审计报告-2022年:4:aliyun_table:0:26-26:6-6,suspicious_value,warning,seal_or_stamp_noise|expected_numeric_but_unparseable,米,米,open,"{""abs_col"":6,""grid_col"":2,""grid_row"":26,""is_span_anchor"":true,""issue_flags"":[""numeric_parse_failed""],""source_kind"":""json"",""table_cell_id"":214,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,债务人审计报告-2022年:4:aliyun_table:0:28-28:7-7,suspicious_value,warning,seal_or_stamp_noise|expected_numeric_but_unparseable,章,章,open,"{""abs_col"":7,""grid_col"":3,""grid_row"":28,""is_span_anchor"":true,""issue_flags"":[""numeric_parse_failed""],""source_kind"":""json"",""table_cell_id"":231,""table_index"":1,""x_cell_size"":8,""y_cell_size"":38}"
债务人审计报告-2022年,4,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,0,0_sub2,,row_label_missing,warning,Value row is present but row label is empty.,,,open,"{""row_idx"":28}"
债务人审计报告-2022年,5,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0005.json,0,0_sub1,债务人审计报告-2022年:5:aliyun_table:0:20-20:3-3,suspicious_value,warning,expected_numeric_but_unparseable,洋会计师之,洋会计师之,open,"{""abs_col"":3,""grid_col"":3,""grid_row"":20,""is_span_anchor"":true,""issue_flags"":[""numeric_parse_failed""],""source_kind"":""json"",""table_cell_id"":83,""table_index"":1,""x_cell_size"":4,""y_cell_size"":31}"
债务人审计报告-2022年,5,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0005.json,0,0_sub1,债务人审计报告-2022年:5:aliyun_table:0:22-22:3-3,suspicious_value,warning,expected_numeric_but_unparseable,审验,审验,open,"{""abs_col"":3,""grid_col"":3,""grid_row"":22,""is_span_anchor"":true,""issue_flags"":[""numeric_parse_failed""],""source_kind"":""json"",""table_cell_id"":91,""table_index"":1,""x_cell_size"":4,""y_cell_size"":31}"
债务人审计报告-2022年,13,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0013.json,0,0_sub1,债务人审计报告-2022年:13:aliyun_table:0:4-4:0-2,suspicious_value,warning,contains_chinese_noise|expected_numeric_but_unparseable,2.应收票据,2.应收票据,open,"{""abs_col"":1,""grid_col"":1,""grid_row"":4,""is_span_anchor"":false,""issue_flags"":[""numeric_parse_failed""],""source_kind"":""json"",""table_cell_id"":12,""table_index"":1,""x_cell_size"":3,""y_cell_size"":8}"
债务人审计报告-2022年,13,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0013.json,0,0_sub1,债务人审计报告-2022年:13:aliyun_table:0:4-4:0-2,suspicious_value,warning,contains_chinese_noise|expected_numeric_but_unparseable,2.应收票据,2.应收票据,open,"{""abs_col"":2,""grid_col"":2,""grid_row"":4,""is_span_anchor"":false,""issue_flags"":[""numeric_parse_failed""],""source_kind"":""json"",""table_cell_id"":12,""table_index"":1,""x_cell_size"":3,""y_cell_size"":8}"
债务人审计报告-2022年,13,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0013.json,0,0_sub1,债务人审计报告-2022年:13:aliyun_table:0:5-5:1-1,suspicious_value,warning,expected_numeric_but_unparseable,期初数,期初数,open,"{""abs_col"":1,""grid_col"":1,""grid_row"":5,""is_span_anchor"":true,""issue_flags"":[""numeric_parse_failed""],""source_kind"":""json"",""table_cell_id"":14,""table_index"":1,""x_cell_size"":3,""y_cell_size"":8}"
