doc_id,page_no,provider,statement_type,row_label_raw,row_label_std,best_code,best_name,candidate_codes_json,reason,source_cell_ref,status
债务人审计报告-2022年,4,aliyun_table,balance_sheet,短期投资,短期投资,,,,no_match,债务人审计报告-2022年:4:aliyun_table:0:3-3:2-2,review
债务人审计报告-2022年,4,aliyun_table,balance_sheet,短期投资,短期投资,,,,no_match,债务人审计报告-2022年:4:aliyun_table:0:3-3:3-3,review
债务人审计报告-2022年,4,aliyun_table,balance_sheet,一年内到期长期债权投资,一年内到期长期债权投资,,,,no_match,债务人审计报告-2022年:4:aliyun_table:0:13-13:2-2,review
债务人审计报告-2022年,4,aliyun_table,balance_sheet,一年内到期长期债权投资,一年内到期长期债权投资,,,,no_match,债务人审计报告-2022年:4:aliyun_table:0:13-13:3-3,review
债务人审计报告-2022年,4,aliyun_table,balance_sheet,长期投资:,长期投资,ZT_042,其他长期投资,ZT_042 其他长期投资 (0.723);ZT_039 长期股权投资 (0.673),mapping_candidate_only,债务人审计报告-2022年:4:aliyun_table:0:16-16:2-2,review
债务人审计报告-2022年,4,aliyun_table,balance_sheet,长期投资:,长期投资,ZT_042,其他长期投资,ZT_042 其他长期投资 (0.723);ZT_039 长期股权投资 (0.673),mapping_candidate_only,债务人审计报告-2022年:4:aliyun_table:0:16-16:3-3,review
债务人审计报告-2022年,4,aliyun_table,balance_sheet,长期债权投资,长期债权投资,ZT_036,债权投资,ZT_036 债权投资 (0.723);ZT_039 长期股权投资 (0.708),mapping_candidate_only,债务人审计报告-2022年:4:aliyun_table:0:18-18:2-2,review
债务人审计报告-2022年,4,aliyun_table,balance_sheet,长期债权投资,长期债权投资,ZT_036,债权投资,ZT_036 债权投资 (0.723);ZT_039 长期股权投资 (0.708),mapping_candidate_only,债务人审计报告-2022年:4:aliyun_table:0:18-18:3-3,review
债务人审计报告-2022年,4,aliyun_table,balance_sheet,长期投资合计,长期投资合计,,,,no_match,债务人审计报告-2022年:4:aliyun_table:0:19-19:2-2,review
债务人审计报告-2022年,4,aliyun_table,balance_sheet,长期投资合计,长期投资合计,,,,no_match,债务人审计报告-2022年:4:aliyun_table:0:19-19:3-3,review
债务人审计报告-2022年,4,aliyun_table,balance_sheet,固定资产:,固定资产,ZT_045,固定资产净额,ZT_045 固定资产净额 (0.753);ZT_046 固定资产原值 (0.753);ZT_049 固定资产清理 (0.753),mapping_candidate_only,债务人审计报告-2022年:4:aliyun_table:0:20-20:2-2,review
债务人审计报告-2022年,4,aliyun_table,balance_sheet,固定资产:,固定资产,ZT_045,固定资产净额,ZT_045 固定资产净额 (0.753);ZT_046 固定资产原值 (0.753);ZT_049 固定资产清理 (0.753),mapping_candidate_only,债务人审计报告-2022年:4:aliyun_table:0:20-20:3-3,review
