doc_id,page_no,source_file,table_likelihood_score,numeric_density_score,line_density_score,keyword_score,is_candidate_table_page,selection_reason,meta_json
债务人审计报告-2022年,1,C:\Users\gater\Desktop\Python\finance\AutoFinance\data\债务人审计报告-2022年.pdf,0.356372,1.0,0.301781,0.0,False,"likely_non_table_page,numeric_density_high","{""has_text_hint"":true,""keyword_hits"":0,""total_score"":0.433083}"
债务人审计报告-2022年,2,C:\Users\gater\Desktop\Python\finance\AutoFinance\data\债务人审计报告-2022年.pdf,1.0,0.554745,1.0,1.0,True,"selected_for_table_ocr,table_layout_detected,grid_line_signal,numeric_density_high,financial_keywords_present","{""has_text_hint"":true,""keyword_hits"":3,""total_score"":0.910949}"
债务人审计报告-2022年,3,C:\Users\gater\Desktop\Python\finance\AutoFinance\data\债务人审计报告-2022年.pdf,0.993449,0.53108,1.0,0.0,True,"selected_for_table_ocr,table_layout_detected,grid_line_signal,numeric_density_high","{""has_text_hint"":true,""keyword_hits"":0,""total_score"":0.803596}"
债务人审计报告-2022年,4,C:\Users\gater\Desktop\Python\finance\AutoFinance\data\债务人审计报告-2022年.pdf,1.0,1.0,1.0,1.0,True,"selected_for_table_ocr,table_layout_detected,grid_line_signal,numeric_density_high,financial_keywords_present","{""has_text_hint"":true,""keyword_hits"":5,""total_score"":1.0}"
债务人审计报告-2022年,5,C:\Users\gater\Desktop\Python\finance\AutoFinance\data\债务人审计报告-2022年.pdf,1.0,1.0,1.0,0.416667,True,"selected_for_table_ocr,table_layout_detected,grid_line_signal,numeric_density_high,financial_keywords_present","{""has_text_hint"":true,""keyword_hits"":1,""total_score"":0.941667}"
债务人审计报告-2022年,6,C:\Users\gater\Desktop\Python\finance\AutoFinance\data\债务人审计报告-2022年.pdf,1.0,1.0,1.0,1.0,True,"selected_for_table_ocr,table_layout_detected,grid_line_signal,numeric_density_high,financial_keywords_present","{""has_text_hint"":true,""keyword_hits"":3,""total_score"":1.0}"
债务人审计报告-2022年,7,C:\Users\gater\Desktop\Python\finance\AutoFinance\data\债务人审计报告-2022年.pdf,0.485351,0.46832,0.251485,0.0,False,"likely_non_table_page,table_layout_detected,numeric_density_high","{""has_text_hint"":true,""keyword_hits"":0,""total_score"":0.36325}"
债务人审计报告-2022年,8,C:\Users\gater\Desktop\Python\finance\AutoFinance\data\债务人审计报告-2022年.pdf,0.628449,0.155496,0.45341,0.416667,True,"selected_for_table_ocr,table_layout_detected,grid_line_signal,financial_keywords_present","{""has_text_hint"":true,""keyword_hits"":1,""total_score"":0.460169}"
债务人审计报告-2022年,9,C:\Users\gater\Desktop\Python\finance\AutoFinance\data\债务人审计报告-2022年.pdf,0.524508,0.240391,0.30215,0.416667,False,"likely_non_table_page,table_layout_detected,financial_keywords_present","{""has_text_hint"":true,""keyword_hits"":1,""total_score"":0.390193}"
债务人审计报告-2022年,10,C:\Users\gater\Desktop\Python\finance\AutoFinance\data\债务人审计报告-2022年.pdf,1.0,0.446097,1.0,0.416667,True,"selected_for_table_ocr,table_layout_detected,grid_line_signal,numeric_density_high,financial_keywords_present","{""has_text_hint"":true,""keyword_hits"":1,""total_score"":0.830886}"
