task_id,granularity,doc_id,page_no,table_id,logical_subtable_id,bbox,reason_codes,suggested_provider,priority_score,expected_benefit,source_review_id,meta_json
REOCR00001,row,债务人审计报告-2022年,4,0,,"[133, 959, 1080, 991]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00046,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00002,row,债务人审计报告-2022年,4,0,,"[133, 989, 1080, 1021]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00047,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00003,row,债务人审计报告-2022年,4,0,,"[133, 1020, 1077, 1051]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00048,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00004,row,债务人审计报告-2022年,4,0,,"[133, 1079, 1077, 1112]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00051,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00005,row,债务人审计报告-2022年,5,0,,"[133, 987, 1085, 1028]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00101,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00006,row,债务人审计报告-2022年,5,0,,"[133, 1062, 1085, 1102]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00105,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00007,row,债务人审计报告-2022年,13,0,,"[162, 343, 996, 403]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00215,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00008,row,债务人审计报告-2022年,13,0,,"[162, 343, 996, 403]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00216,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00009,row,债务人审计报告-2022年,13,0,,"[162, 401, 996, 438]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00217,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
REOCR00010,row,债务人审计报告-2022年,13,0,,"[162, 401, 996, 438]","[""issue:suspicious_value"",""mapping:unmapped"",""quality:suspicious_numeric"",""validation:amount_legality:review""]",tencent_table_v3,10.0,reduce_validation_failures,REV00218,"{""conflict_ids"":[],""has_bbox"":true,""provider"":""aliyun_table""}"
