review_id,priority_score,reason_codes,doc_id,page_no,statement_type,row_label_raw,row_label_std,period_key,value_raw,value_num,provider,source_file,bbox,related_fact_ids,related_conflict_ids,related_validation_ids,mapping_candidates,evidence_cell_path,evidence_row_path,evidence_table_path,meta_json
REV00001,2.5,"[""mapping:unmapped""]",债务人审计报告-2022年,4,balance_sheet,短期投资,短期投资,2022-12-31__期初数,,,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,"{""cell_bbox"": [393, 328, 508, 359], ""row_bbox"": [133, 328, 1081, 359], ""table_bbox"": [133, 230, 1081, 1383]}","[""F000003""]",[],[],,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00001_cell.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00001_row.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00001_table.png,"{""source_cell_ref"":""债务人审计报告-2022年:4:aliyun_table:0:3-3:2-2""}"
REV00002,2.5,"[""mapping:unmapped""]",债务人审计报告-2022年,4,balance_sheet,短期投资,短期投资,2022-12-31__期末数,,,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,"{""cell_bbox"": [508, 328, 616, 359], ""row_bbox"": [133, 328, 1081, 359], ""table_bbox"": [133, 230, 1081, 1383]}","[""F000004""]",[],[],,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00002_cell.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00002_row.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00002_table.png,"{""source_cell_ref"":""债务人审计报告-2022年:4:aliyun_table:0:3-3:3-3""}"
REV00003,2.5,"[""mapping:unmapped""]",债务人审计报告-2022年,4,balance_sheet,一年内到期长期债权投资,一年内到期长期债权投资,2022-12-31__期初数,,,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,"{""cell_bbox"": [393, 629, 507, 659], ""row_bbox"": [133, 629, 1080, 660], ""table_bbox"": [133, 230, 1081, 1383]}","[""F000023""]",[],[],,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00003_cell.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00003_row.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00003_table.png,"{""source_cell_ref"":""债务人审计报告-2022年:4:aliyun_table:0:13-13:2-2""}"
REV00004,2.5,"[""mapping:unmapped""]",债务人审计报告-2022年,4,balance_sheet,一年内到期长期债权投资,一年内到期长期债权投资,2022-12-31__期末数,,,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,"{""cell_bbox"": [507, 629, 616, 659], ""row_bbox"": [133, 629, 1080, 660], ""table_bbox"": [133, 230, 1081, 1383]}","[""F000024""]",[],[],,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00004_cell.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00004_row.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00004_table.png,"{""source_cell_ref"":""债务人审计报告-2022年:4:aliyun_table:0:13-13:3-3""}"
REV00005,2.5,"[""mapping:unmapped""]",债务人审计报告-2022年,4,balance_sheet,长期投资:,长期投资,2022-12-31__期初数,,,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,"{""cell_bbox"": [393, 720, 507, 750], ""row_bbox"": [133, 718, 1080, 750], ""table_bbox"": [133, 230, 1081, 1383]}","[""F000029""]",[],[],"ZT_042 其他长期投资 (prefix_suffix_heuristic,0.723); ZT_042 其他长期投资 (prefix_suffix_heuristic,0.723); ZT_042 其他长期投资 (prefix_suffix_heuristic,0.723)",C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00005_cell.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00005_row.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00005_table.png,"{""source_cell_ref"":""债务人审计报告-2022年:4:aliyun_table:0:16-16:2-2""}"
REV00006,2.5,"[""mapping:unmapped""]",债务人审计报告-2022年,4,balance_sheet,长期投资:,长期投资,2022-12-31__期末数,,,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,"{""cell_bbox"": [507, 720, 616, 750], ""row_bbox"": [133, 718, 1080, 750], ""table_bbox"": [133, 230, 1081, 1383]}","[""F000030""]",[],[],"ZT_042 其他长期投资 (prefix_suffix_heuristic,0.723); ZT_042 其他长期投资 (prefix_suffix_heuristic,0.723); ZT_042 其他长期投资 (prefix_suffix_heuristic,0.723)",C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00006_cell.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00006_row.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00006_table.png,"{""source_cell_ref"":""债务人审计报告-2022年:4:aliyun_table:0:16-16:3-3""}"
REV00007,2.5,"[""mapping:unmapped""]",债务人审计报告-2022年,4,balance_sheet,长期债权投资,长期债权投资,2022-12-31__期初数,,,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,"{""cell_bbox"": [392, 779, 507, 809], ""row_bbox"": [133, 779, 1080, 810], ""table_bbox"": [133, 230, 1081, 1383]}","[""F000033""]",[],[],"ZT_036 债权投资 (prefix_suffix_heuristic,0.723); ZT_036 债权投资 (prefix_suffix_heuristic,0.723); ZT_036 债权投资 (prefix_suffix_heuristic,0.723)",C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00007_cell.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00007_row.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00007_table.png,"{""source_cell_ref"":""债务人审计报告-2022年:4:aliyun_table:0:18-18:2-2""}"
REV00008,2.5,"[""mapping:unmapped""]",债务人审计报告-2022年,4,balance_sheet,长期债权投资,长期债权投资,2022-12-31__期末数,,,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,"{""cell_bbox"": [507, 779, 614, 809], ""row_bbox"": [133, 779, 1080, 810], ""table_bbox"": [133, 230, 1081, 1383]}","[""F000034""]",[],[],"ZT_036 债权投资 (prefix_suffix_heuristic,0.723); ZT_036 债权投资 (prefix_suffix_heuristic,0.723); ZT_036 债权投资 (prefix_suffix_heuristic,0.723)",C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00008_cell.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00008_row.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00008_table.png,"{""source_cell_ref"":""债务人审计报告-2022年:4:aliyun_table:0:18-18:3-3""}"
REV00009,2.5,"[""mapping:unmapped""]",债务人审计报告-2022年,4,balance_sheet,长期投资合计,长期投资合计,2022-12-31__期初数,,,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,"{""cell_bbox"": [392, 809, 507, 839], ""row_bbox"": [133, 809, 1080, 841], ""table_bbox"": [133, 230, 1081, 1383]}","[""F000035""]",[],[],,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00009_cell.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00009_row.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00009_table.png,"{""source_cell_ref"":""债务人审计报告-2022年:4:aliyun_table:0:19-19:2-2""}"
REV00010,2.5,"[""mapping:unmapped""]",债务人审计报告-2022年,4,balance_sheet,长期投资合计,长期投资合计,2022-12-31__期末数,,,aliyun_table,C:\Users\gater\Desktop\Python\finance\AutoFinance\outputs\aliyun_table\债务人审计报告-2022年\raw\page_0004.json,"{""cell_bbox"": [507, 809, 614, 839], ""row_bbox"": [133, 809, 1080, 841], ""table_bbox"": [133, 230, 1081, 1383]}","[""F000036""]",[],[],,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00010_cell.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00010_row.png,C:\Users\gater\Desktop\Python\finance\AutoFinance\normalized\review_pack\REV00010_table.png,"{""source_cell_ref"":""债务人审计报告-2022年:4:aliyun_table:0:19-19:3-3""}"
